,Consum.Fruta,Salud,Numero_rel
116,24.0,Excellent,0.1838937318389373
117,24.0,Fair,0.08634288086342881
118,24.0,Good,0.29306766293067665
119,24.0,Poor,0.026982150269821502
120,24.0,Very Good,0.40971357409713577
121,25.0,Excellent,0.16974494283201408
122,25.0,Fair,0.12137203166226913
123,25.0,Good,0.3148636763412489
124,25.0,Poor,0.029023746701846966
125,25.0,Very Good,0.3649956024626209
126,26.0,Excellent,0.24242424242424243
127,26.0,Fair,0.030303030303030304
128,26.0,Good,0.3939393939393939
129,26.0,Very Good,0.3333333333333333
130,27.0,Excellent,0.19148936170212766
131,27.0,Fair,0.1702127659574468
132,27.0,Good,0.3404255319148936
133,27.0,Poor,0.02127659574468085
134,27.0,Very Good,0.2765957446808511
135,28.0,Excellent,0.20153891683930156
136,28.0,Fair,0.12192956496004735
137,28.0,Good,0.2912104172832199
138,28.0,Poor,0.04172832198875407
139,28.0,Very Good,0.3435927789286771
140,29.0,Excellent,0.25925925925925924
141,29.0,Fair,0.14814814814814814
142,29.0,Good,0.25925925925925924
143,29.0,Very Good,0.3333333333333333
144,30.0,Excellent,0.19207293432144718
145,30.0,Fair,0.10730783290684923
146,30.0,Good,0.3007765334042294
147,30.0,Poor,0.033343303091732855
148,30.0,Very Good,0.36649939627574135
149,31.0,Excellent,0.23255813953488372
150,31.0,Fair,0.11627906976744186
151,31.0,Good,0.3488372093023256
152,31.0,Poor,0.046511627906976744
153,31.0,Very Good,0.2558139534883721
154,32.0,Excellent,0.20496894409937888
155,32.0,Fair,0.09627329192546584
156,32.0,Good,0.30124223602484473
157,32.0,Poor,0.021739130434782608
158,32.0,Very Good,0.37577639751552794
159,33.0,Excellent,0.15384615384615385
160,33.0,Fair,0.07692307692307693
161,33.0,Good,0.46153846153846156
162,33.0,Very Good,0.3076923076923077
163,34.0,Good,1.0
164,35.0,Excellent,0.12195121951219512
165,35.0,Fair,0.12195121951219512
166,35.0,Good,0.2682926829268293
167,35.0,Poor,0.024390243902439025
168,35.0,Very Good,0.4634146341463415
169,36.0,Excellent,0.21428571428571427
170,36.0,Fair,0.07142857142857142
171,36.0,Good,0.3142857142857143
172,36.0,Poor,0.02857142857142857
173,36.0,Very Good,0.37142857142857144
174,37.0,Fair,1.0
175,38.0,Excellent,0.5
176,38.0,Fair,0.5
177,39.0,Excellent,0.5
178,39.0,Fair,0.5
179,40.0,Excellent,0.19021467798302547
180,40.0,Fair,0.1053419870194708
181,40.0,Good,0.30304543185222166
182,40.0,Poor,0.040938592111832255
183,40.0,Very Good,0.3604593110334498
184,41.0,Good,1.0
185,42.0,Very Good,1.0
186,44.0,Excellent,0.08333333333333333
187,44.0,Fair,0.08333333333333333
188,44.0,Good,0.2916666666666667
189,44.0,Poor,0.041666666666666664
190,44.0,Very Good,0.5
191,45.0,Excellent,0.19130434782608696
192,45.0,Fair,0.0782608695652174
193,45.0,Good,0.34782608695652173
194,45.0,Poor,0.02608695652173913
195,45.0,Very Good,0.3565217391304348
196,48.0,Excellent,0.21379310344827587
197,48.0,Fair,0.07586206896551724
198,48.0,Good,0.2827586206896552
199,48.0,Poor,0.04827586206896552
200,48.0,Very Good,0.3793103448275862
201,50.0,Excellent,0.2236842105263158
202,50.0,Fair,0.10526315789473684
203,50.0,Good,0.2894736842105263
204,50.0,Poor,0.013157894736842105
205,50.0,Very Good,0.3684210526315789
206,52.0,Fair,0.3333333333333333
207,52.0,Good,0.3333333333333333
208,52.0,Very Good,0.3333333333333333
209,54.0,Very Good,1.0
210,55.0,Excellent,0.2
211,55.0,Fair,0.2
212,55.0,Very Good,0.6
213,56.0,Excellent,0.1574074074074074
214,56.0,Fair,0.07407407407407407
215,56.0,Good,0.3055555555555556
216,56.0,Poor,0.05555555555555555
217,56.0,Very Good,0.4074074074074074
218,60.0,Excellent,0.22033370041764497
219,60.0,Fair,0.09067675109605834
220,60.0,Good,0.27498078001953163
221,60.0,Poor,0.028383236021360152
222,60.0,Very Good,0.3856255324454049
223,62.0,Fair,1.0
224,63.0,Very Good,1.0
225,64.0,Excellent,0.25
226,64.0,Good,0.5
227,64.0,Very Good,0.25
228,65.0,Excellent,0.3333333333333333
229,65.0,Fair,0.1111111111111111
230,65.0,Good,0.2222222222222222
231,65.0,Very Good,0.3333333333333333
232,68.0,Excellent,0.25
233,68.0,Good,0.25
234,68.0,Very Good,0.5
235,70.0,Excellent,0.4
236,70.0,Good,0.2
237,70.0,Very Good,0.4
238,72.0,Excellent,0.16666666666666666
239,72.0,Fair,0.16666666666666666
240,72.0,Good,0.25
241,72.0,Very Good,0.4166666666666667
242,75.0,Excellent,0.14285714285714285
243,75.0,Fair,0.2857142857142857
244,75.0,Good,0.14285714285714285
