,Procesados,Salud,Numero_rel
83,16.0,Poor,0.03943767106245335
84,16.0,Very Good,0.34585717840258773
85,17.0,Excellent,0.14285714285714285
86,17.0,Fair,0.08163265306122448
87,17.0,Good,0.2857142857142857
88,17.0,Poor,0.02040816326530612
89,17.0,Very Good,0.46938775510204084
90,18.0,Excellent,0.16666666666666666
91,18.0,Fair,0.125
92,18.0,Good,0.3229166666666667
93,18.0,Poor,0.0625
94,18.0,Very Good,0.3229166666666667
95,19.0,Good,0.8
96,19.0,Poor,0.2
97,20.0,Excellent,0.14794441227562247
98,20.0,Fair,0.13679791546033584
99,20.0,Good,0.34829183555298204
100,20.0,Poor,0.03778228141285466
101,20.0,Very Good,0.329183555298205
102,21.0,Excellent,0.05128205128205128
103,21.0,Fair,0.10256410256410256
104,21.0,Good,0.41025641025641024
105,21.0,Poor,0.05128205128205128
106,21.0,Very Good,0.38461538461538464
107,22.0,Excellent,0.2
108,22.0,Fair,0.16666666666666666
109,22.0,Good,0.2
110,22.0,Very Good,0.43333333333333335
111,23.0,Fair,0.09090909090909091
112,23.0,Good,0.5454545454545454
113,23.0,Very Good,0.36363636363636365
114,24.0,Excellent,0.153713298791019
115,24.0,Fair,0.13471502590673576
116,24.0,Good,0.3471502590673575
117,24.0,Poor,0.02936096718480138
118,24.0,Very Good,0.33506044905008636
119,25.0,Excellent,0.14367816091954022
120,25.0,Fair,0.15517241379310345
121,25.0,Good,0.35823754789272033
122,25.0,Poor,0.04980842911877394
123,25.0,Very Good,0.29310344827586204
124,26.0,Excellent,0.08333333333333333
125,26.0,Fair,0.3333333333333333
126,26.0,Good,0.3333333333333333
127,26.0,Very Good,0.25
128,27.0,Excellent,0.2631578947368421
129,27.0,Fair,0.10526315789473684
130,27.0,Good,0.5263157894736842
131,27.0,Very Good,0.10526315789473684
132,28.0,Excellent,0.209009009009009
133,28.0,Fair,0.14234234234234233
134,28.0,Good,0.3081081081081081
135,28.0,Poor,0.055855855855855854
136,28.0,Very Good,0.28468468468468466
137,29.0,Excellent,0.1875
138,29.0,Fair,0.3125
139,29.0,Good,0.1875
140,29.0,Poor,0.125
141,29.0,Very Good,0.1875
142,30.0,Excellent,0.17690301161963481
143,30.0,Fair,0.14844676310173108
144,30.0,Good,0.32961821199905145
145,30.0,Poor,0.05003557031064738
146,30.0,Very Good,0.29499644296893524
147,31.0,Excellent,0.23076923076923078
148,31.0,Fair,0.07692307692307693
149,31.0,Good,0.3076923076923077
150,31.0,Poor,0.15384615384615385
151,31.0,Very Good,0.23076923076923078
152,32.0,Excellent,0.17777777777777778
153,32.0,Fair,0.15555555555555556
154,32.0,Good,0.35555555555555557
155,32.0,Poor,0.022222222222222223
156,32.0,Very Good,0.28888888888888886
157,33.0,Excellent,0.4
158,33.0,Fair,0.2
159,33.0,Good,0.3
160,33.0,Very Good,0.1
161,34.0,Good,1.0
162,35.0,Fair,0.25
163,35.0,Good,0.75
164,36.0,Excellent,0.06666666666666667
165,36.0,Fair,0.2
166,36.0,Good,0.4
167,36.0,Very Good,0.3333333333333333
168,37.0,Poor,1.0
169,40.0,Excellent,0.13675213675213677
170,40.0,Fair,0.10256410256410256
171,40.0,Good,0.41025641025641024
172,40.0,Poor,0.05128205128205128
173,40.0,Very Good,0.29914529914529914
174,41.0,Excellent,1.0
175,42.0,Fair,0.5
176,42.0,Very Good,0.5
177,44.0,Good,1.0
178,45.0,Excellent,0.4
179,45.0,Poor,0.2
180,45.0,Very Good,0.4
181,46.0,Fair,1.0
182,48.0,Excellent,0.125
183,48.0,Good,0.375
184,48.0,Poor,0.1875
185,48.0,Very Good,0.3125
186,49.0,Very Good,1.0
187,50.0,Excellent,0.2631578947368421
188,50.0,Fair,0.05263157894736842
189,50.0,Good,0.3157894736842105
190,50.0,Poor,0.10526315789473684
191,50.0,Very Good,0.2631578947368421
192,52.0,Very Good,1.0
