,Edad,Est.Salud,Sexo,Numero
50,70-74,Excellent,Hombre,0.1326232247284879
51,70-74,Fair,Hombre,0.14243943191311612
52,70-74,Good,Hombre,0.33618769145084937
53,70-74,Poor,Hombre,0.04928989139515455
54,70-74,Very Good,Hombre,0.3394597605123921
55,75-79,Excellent,Hombre,0.12692101020956476
56,75-79,Fair,Hombre,0.14798495432563138
57,75-79,Good,Hombre,0.34422353573347664
58,75-79,Poor,Hombre,0.05459430413756045
59,75-79,Very Good,Hombre,0.3262761955937668
60,80+,Excellent,Hombre,0.10841388400702988
61,80+,Fair,Hombre,0.16970562390158173
62,80+,Good,Hombre,0.36126977152899825
63,80+,Poor,Hombre,0.0649165202108963
64,80+,Very Good,Hombre,0.29569420035149385
